absorbuoti, absorbúoja, absorbãvo
leptelėti, leptelėja, lèptelėjo
lepti, lémpa, lẽpo
lesinėti, lesinė́ja, lesinė́jo
lesinti, lẽsina, lẽsino
lesti, lẽsa, lẽsė
lėtinti, lė̃tina, lė̃tino
liaupsinti, liáupsina, liáupsino
liepsnoti, liepsnója, liepsnójo
liepti, liẽpia, liẽpė
liesti, liẽčia, liẽtė
lieti, líeja, líejo
lietuvinti, lietùvina, lietùvino
liežuvauti, liežuváuja, liežuvavo
lignuoti, lingúoja, lingãvo
likti, liẽka, lìko
likviduoti, likvidúoja, likvidãvo
lindėti, liñdi, lindė́jo
linguoti, lingúoja, lingãvo
linkčioti, lìnkčioja, lìnkčiojo
linkėti, liñki, linkė́jo
linksėti, lìnksi, linksė́jo
linksmėti, linksmėja, linksmė́jo
linksminti, lìnksmina, lìnksmino
linksniuoti, linksniúoja, linksniãvo
linktelėti, lìnktelėja, lìnktelėjo
linkti, liñksta, liñko
lipdyti, lìpdo, lìpdė
lipti, lìpa, lìpo
liūdėti, liū̃di, liūdė́jo
liūdinti, liū̃dina, liū̃dino
liudyti, liùdija, liùdijo
lopyti, lõpo, lopė̃
lošti, lõšia, lõšė
loti, lója, lójo
lukterėti, lukterėja, lùkterėjo
luošinti, lúošina, lúošino
lupti, lùpa, lùpo
lūžti, lū́žta, lū́žo
lydėti, lỹdi, lydė́jo
lydyti, lýdo, lýdė
lyginti, lýgina, lýgino
lynoti, lynója, lynójo
lytėti, lýti, lytė́jo
lyti, lỹja, lìjo
lyžtelėti, lýžtelėja, lýžtelėjo
maigyti, máigo, máigė
mainyti, maĩno, maĩnė
maištauti, maištáuja, maištãvo
maišyti, maĩšo, maĩšė
maitinti, maitìna, maitìno
maldauti, maldáuja, maldãvo
maldyti, mal̃do, mal̃dė
malonėti, malonė́ja, malonė́jo
malšinti, malšìna, malšìno
malti, mãla, mãlė
manipuliuoti, manipuliúoja, manipuliãvo
mankštinti, mankštìna, mankštìno
manyti, mãno, mãnė
marginti, márgina, márgino
marguliuoti, marguliúoja, marguliavo
marguoti, margúoja, margãvo
marinti, marinà, marìno
marinuoti, marinúoja, marinãvo
masažuoti, masažúoja, masažãvo
maskatuoti, maskatúoja, maskatãvo
mąstyti, mą̃sto, mą̃stė
mąsyti, mą̃sto, mą̃stė
maudyti, máudo, máudė
mauti, máuna, móvė
mažėti, mažė́ja, mažė́jo
mazgoti, mazgója, mazgójo
mažinti, mãžina, mãžino
medituoti, meditúoja, meditãvo
medžioti, medžiója, medžiójo
mėgdžioti, mė́gdžioja, mė́gdžiojo
mėginti, mėgìna, mėgìno
mėgti, mė́gsta, mė́go
megzti, mẽzga, mẽzgė
meilikauti, meilikáuja, meilikãvo
melsti, mel̃džia, mel̃dė
melsvinti, melsvina, melsvino
meluoti, melúoja, melãvo
mėlynėti, mėlynėja, mėlynėjo
mėlyninti, mėlynina, mėlynino
mėlynuoti, mėlynúoja, mėlynãvo
melžti, mélžia, mélžė
menkėti, menkė́ja, menkė́jo
menkinti, meñkina, meñkino
merkti, mérkia, mérkė
meškerioti, meškeriója, meškeriójo
mesti, mẽta, mẽtė
mėtyti, mė́to, mė́tė
mezgti, mẽzga, mẽzgė
mėžti, mė́žia, mė́žė
miaukti, miaũkia, miaũkė
miegoti,  miẽga,  miegójo
miešti, miẽšia, miẽšė
migdyti, mìgdo, mìgdė
migti, miñga, mìgo
mikčioti, mikčiója, mikčiójo
minėti, minì, minė́jo
minkyti, mìnko, mìnkė
minti, minà, mýnė
mintyti, miñtija, miñtijo
mirgėti, mìrga, mirgė́jo
mirguliuoti, mirguliúoja, mirguliãvo
mirkčioti, mìrkčioja, mìrkčiojo
mirksėti, mìrksi, mirksė́jo
mirktelėti, mirktelėja, mìrktelėjo
mirkti, merka, mir̃ko
mirti, mìršta, mìrė
misti, miñta, mìto
modifikuoti, modifikúoja, modifikãvo
mojuoti, mojúoja, mojãvo
mokėti, mokà, mokė́jo
mokinti, mokìna, mokìno
mokyti, móko, mókė
mokytojauti, mokytojáuja, mokytojãvo
montuoti, montúoja, montãvo
mosikuoti, mosikúoja, mosikãvo
mosuoti, mosúoja, mosãvo
moti, mója, mójo
motyvuoti, motyvúoja, motyvãvo
mūkti, mū̃kia, mū̃kė
murkti, mur̃kia, mur̃kė
murmėti, mùrma, murmė́jo
mūryti, mū́rija, mū́rijo
mušinėti, mušinė́ja, mušinėjo
mušti, mùša, mùšė
mutuoti, mutuoja, mutavo
muturiuoti, muturiuoja, muturiavo
mūvėti, mū̃vi, mūvė́jo
mykti, mỹkia, mỹkė
mylėti, mýli, mylė́jo
myluoti, mylúoja, mylãvo
myžti, myža, myžo
nagrinėti, nagrinė́ja, nagrinė́jo
naikinti, naikìna, naikìno
nakvoti, nakvója, nakvójo
nardyti, nárdo, nárdė
narplioti, nárplioja, nárpliojo
narstyti, nársto, nárstė
naršyti, nar̃šo, nar̃šė
naudoti, naudója, naudójo
naujinti, naũjina, naujino
neabejoti, neabejója, neabejójo
neigti, neĩgia, neĩgė
